KEY,OVERRIDE_LOGGED_BY,AP_NAME,REASON,TUITION_ELIGIBLE,UPDATED_AT,STUDENT_EXTERNAL_ID,TERM_CODE,COMMENT,MP SEARCH URL
﻿KEY,OVERRIDE_LOGGED_BY,AP_NAME,REASON,TUITION_ELIGIBLE,UPDATED_AT,STUDENT_EXTERNAL_ID,TERM_CODE,COMMENT,MP SEARCH URL
2020-08-31-2020-11-21_21247024,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.502 +0000,21247024,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21247024&page=0&attribute=studentId
2020-08-31-2020-11-21_21246348,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.497 +0000,21246348,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21246348&page=0&attribute=studentId
2020-08-31-2020-11-21_21245577,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.491 +0000,21245577,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21245577&page=0&attribute=studentId
2020-09-21-2020-11-01_21245399,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.484 +0000,21245399,2020-09-21-2020-11-01,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21245399&page=0&attribute=studentId
2020-08-10-2020-09-20_21245399,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.475 +0000,21245399,2020-08-10-2020-09-20,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21245399&page=0&attribute=studentId
2020-08-31-2020-11-21_21242482,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.468 +0000,21242482,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21242482&page=0&attribute=studentId
2020-08-31-2020-11-21_21240613,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.462 +0000,21240613,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21240613&page=0&attribute=studentId
2020-08-31-2020-11-21_21240204,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.454 +0000,21240204,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21240204&page=0&attribute=studentId
2020-08-31-2020-11-21_21239153,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.447 +0000,21239153,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21239153&page=0&attribute=studentId
2020-08-31-2020-11-21_21238625,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.438 +0000,21238625,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21238625&page=0&attribute=studentId
2020-08-31-2020-11-21_21238276,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.430 +0000,21238276,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21238276&page=0&attribute=studentId
2020-07-13-2020-08-23_21233249,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.423 +0000,21233249,2020-07-13-2020-08-23,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21233249&page=0&attribute=studentId
2020-08-31-2020-11-21_21233117,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.417 +0000,21233117,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21233117&page=0&attribute=studentId
2020-08-31-2020-11-21_21232923,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.411 +0000,21232923,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21232923&page=0&attribute=studentId
2020-08-31-2020-11-21_21231006,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.405 +0000,21231006,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21231006&page=0&attribute=studentId
